"","SRR7992451Aligned.sortedByCoord.out_sorted.bam","SRR7992456Aligned.sortedByCoord.out_sorted.bam"
"peak_1207",12554,4227
"peak_1208",873,488
"peak_1209",115,66
"peak_1210",90,32
"peak_1211",115,23
"peak_1212",174,105
"peak_1213",188,114
"peak_1214",283,180
"peak_1215",1471,599
"peak_1216",138,83
"peak_1217",498,247
"peak_1218",149,50
"peak_1219",407,104
"peak_1220",409,120
"peak_1221",286,163
"peak_1222",580,193
"peak_1223",66,30
"peak_1224",109,46
"peak_1225",417,213
"peak_1226",1372,490
"peak_1227",873,390
"peak_1228",1608,430
"peak_1229",461,201
"peak_1230",1099,279
"peak_1231",41,11
"peak_1232",192,70
"peak_1233",102,27
"peak_1234",524,213
"peak_1235",27386,6469
"peak_1236",1780,305
"peak_1237",120,56
"peak_1238",3920,556
"peak_1239",231,106
"peak_1240",121,44
"peak_1241",231,149
"peak_1242",297,180
"peak_1243",689,268
"peak_1244",695,248
"peak_1245",410,107
"peak_1246",37,8
"peak_1247",36,8
"peak_1248",471,183
"peak_1249",480,296
"peak_1250",2259,1180
"peak_1251",537,220
"peak_1252",76,24
"peak_1253",147,40
"peak_1254",57,21
"peak_1255",62,26
"peak_1256",145,53
"peak_1257",330,128
"peak_1258",378,170
"peak_1259",87,54
"peak_1260",183,74
"peak_1261",227,54
"peak_1262",45,12
"peak_1263",1088,597
"peak_1264",1740,769
"peak_1265",1204,701
"peak_1266",1199,697
"peak_1267",1254,319
"peak_1268",438,86
"peak_1269",124,34
"peak_1270",303,61
"peak_1271",135,31
"peak_1272",62,20
"peak_1273",197,88
"peak_1274",65,17
"peak_1275",83,20
"peak_1276",142,22
"peak_1277",247,117
"peak_1278",287,177
"peak_1279",41,10
"peak_1280",920,373
"peak_1281",101,38
"peak_1282",470,283
"peak_1283",294,190
"peak_1284",1027,460
"peak_1285",6904,2002
"peak_1286",386,235
"peak_1287",465,332
"peak_1288",239,55
"peak_1289",1833,1204
"peak_1290",261,130
"peak_1291",10359,3685
"peak_1292",1053,519
"peak_1293",469,110
"peak_1294",1089,432
"peak_1295",45,6
"peak_1296",59,23
"peak_1297",186,95
"peak_1298",146,51
"peak_1299",53,23
"peak_1300",79,40
"peak_1301",179,88
