Geneid	LT34	LT35	LT36	LT46	LT47	LT48
ENSG00000042088	208	299	209	119	184	249
ENSG00000042286	321	626	498	136	445	437
ENSG00000042317	39	39	30	32	16	33
ENSG00000042429	497	681	572	493	603	847
ENSG00000042445	387	622	521	256	396	635
ENSG00000042493	686	668	651	313	488	595
ENSG00000042753	186	357	399	69	334	204
ENSG00000042781	0	0	0	0	0	0
ENSG00000042813	0	0	0	0	1	0
ENSG00000042832	18	20	13	3	6	6
ENSG00000042980	1	6	3	0	3	0
ENSG00000043039	4	3	6	4	1	9
ENSG00000043093	245	432	252	261	304	303
ENSG00000043143	780	2322	1333	632	3073	2296
ENSG00000043355	13	14	14	12	18	32
ENSG00000043462	0	2	2	0	0	1
ENSG00000043514	204	278	196	173	236	273
ENSG00000043591	44	41	66	48	64	114
ENSG00000044012	36	28	31	7	12	24
ENSG00000044090	22	19	67	19	71	46
ENSG00000044115	4214	5339	4668	2724	3532	5355
ENSG00000044446	285	279	344	149	202	317
ENSG00000044459	176	274	177	129	183	218
ENSG00000044524	159	167	168	213	576	385
ENSG00000044574	8177	11604	12650	14753	19508	22874
ENSG00000046604	96	99	147	129	101	279
ENSG00000046647	45	58	56	40	50	57
ENSG00000046651	129	163	110	82	91	130
ENSG00000046653	24	47	21	26	22	31
ENSG00000046774	1	0	0	0	0	0
ENSG00000046889	43	43	44	15	11	8
ENSG00000047056	398	566	541	232	468	592
ENSG00000047188	248	356	275	216	238	321
ENSG00000047230	233	281	201	190	169	273
ENSG00000047249	1114	1219	1430	632	834	1228
ENSG00000047315	931	1435	1095	971	1076	1524
ENSG00000047346	603	531	426	355	291	371
ENSG00000047365	85	56	57	76	23	85
ENSG00000047410	454	731	479	431	545	660
ENSG00000047457	1	1	0	0	0	1
ENSG00000047578	267	358	348	176	423	479
ENSG00000047579	80	77	41	82	80	98
ENSG00000047597	3	2	1	11	1	5
ENSG00000047617	14	6	9	16	11	16
ENSG00000047621	264	268	267	185	211	304
ENSG00000047634	243	349	311	179	257	316
ENSG00000047644	4	2	0	1	0	3
ENSG00000047648	93	109	87	46	76	93
ENSG00000047662	6	6	6	0	3	5
ENSG00000047849	2567	3775	3353	1561	2705	3381
ENSG00000047932	341	482	356	203	353	402
ENSG00000047936	0	0	0	0	0	0
ENSG00000048028	491	589	465	339	364	623
ENSG00000048052	467	455	552	160	169	288
ENSG00000048140	642	944	781	356	814	802
ENSG00000048162	107	192	203	96	352	281
ENSG00000048342	23	37	6	4	34	11
